fraction,mode,n_samples,mean_score_drop,flip_rate,base_accuracy,dataset,model
0.2,bottom,50,1.59151976188182,0.2,0.8102564102564103,CricketY,MrSQM
0.2,random,50,2.0568796881233946,0.2933333333333333,0.8102564102564103,CricketY,MrSQM
0.2,top,50,2.831060883918665,0.44,0.8102564102564103,CricketY,MrSQM
0.05,bottom,50,0.2701521756539058,0.04,0.8025641025641026,CricketZ,MrSQM
0.05,random,50,0.5413399853006825,0.0466666666666666,0.8025641025641026,CricketZ,MrSQM
0.05,top,50,1.079532198887754,0.1,0.8025641025641026,CricketZ,MrSQM
0.1,bottom,50,0.7158137784501493,0.1,0.8025641025641026,CricketZ,MrSQM
0.1,random,50,1.0807327392047206,0.0933333333333333,0.8025641025641026,CricketZ,MrSQM
0.1,top,50,1.8648729437152607,0.18,0.8025641025641026,CricketZ,MrSQM
0.2,bottom,50,1.4386754345095922,0.24,0.8025641025641026,CricketZ,MrSQM
0.2,random,50,2.102581714625865,0.28,0.8025641025641026,CricketZ,MrSQM
0.2,top,50,2.970653119572983,0.4,0.8025641025641026,CricketZ,MrSQM
0.05,bottom,50,0.4085500243573756,0.02,0.7120238095238095,Crop,MrSQM
0.05,random,50,3.3913148511792794,0.2066666666666666,0.7120238095238095,Crop,MrSQM
0.05,top,50,5.963105199379368,0.42,0.7120238095238095,Crop,MrSQM
0.1,bottom,50,1.2319724315625853,0.04,0.7120238095238095,Crop,MrSQM
0.1,random,50,5.790658530885472,0.4133333333333333,0.7120238095238095,Crop,MrSQM
0.1,top,50,9.165507759802596,0.78,0.7120238095238095,Crop,MrSQM
0.2,bottom,50,3.19450838882192,0.06,0.7120238095238095,Crop,MrSQM
0.2,random,50,8.24795138732768,0.5866666666666667,0.7120238095238095,Crop,MrSQM
0.2,top,50,11.390980082052618,0.98,0.7120238095238095,Crop,MrSQM
0.05,bottom,50,0.4566945985657776,0.0,0.8823529411764706,DiatomSizeReduction,MrSQM
0.05,random,50,1.135116791735428,0.0066666666666666,0.8823529411764706,DiatomSizeReduction,MrSQM
