fraction,mode,n_samples,mean_score_drop,flip_rate,base_accuracy,dataset,model
0.05,bottom,50,0.1653570759184966,0.18,0.89,ACSF1,HYDRA
0.05,random,50,0.1833613877920338,0.1533333333333333,0.89,ACSF1,HYDRA
0.05,top,50,0.2093125930354919,0.2,0.89,ACSF1,HYDRA
0.1,bottom,50,0.1111876908571232,0.3,0.89,ACSF1,HYDRA
0.1,random,50,0.1682551530221775,0.2,0.89,ACSF1,HYDRA
0.1,top,50,0.2098114177161082,0.26,0.89,ACSF1,HYDRA
0.2,bottom,50,0.1400672029712515,0.46,0.89,ACSF1,HYDRA
0.2,random,50,0.1792711758386162,0.3866666666666666,0.89,ACSF1,HYDRA
0.2,top,50,0.2331505446554195,0.38,0.89,ACSF1,HYDRA
0.05,bottom,50,0.052005942893399,0.02,0.7410071942446043,Earthquakes,HYDRA
0.05,random,50,0.1017784558217164,0.0133333333333333,0.7410071942446043,Earthquakes,HYDRA
0.05,top,50,0.1539022188547111,0.0,0.7410071942446043,Earthquakes,HYDRA
0.1,bottom,50,0.0808490053843811,0.0,0.7410071942446043,Earthquakes,HYDRA
0.1,random,50,0.168044604557858,0.0,0.7410071942446043,Earthquakes,HYDRA
0.1,top,50,0.2303562862612397,0.0,0.7410071942446043,Earthquakes,HYDRA
0.2,bottom,50,0.2053683224374134,0.02,0.7410071942446043,Earthquakes,HYDRA
0.2,random,50,0.3416468967490844,0.0733333333333333,0.7410071942446043,Earthquakes,HYDRA
0.2,top,50,0.4574625642462017,0.16,0.7410071942446043,Earthquakes,HYDRA
0.05,bottom,50,-0.0497669516738431,0.02,0.83,SemgHandGenderCh2,HYDRA
0.05,random,50,0.294580731684159,0.22,0.83,SemgHandGenderCh2,HYDRA
0.05,top,50,0.3085826275646229,0.3,0.83,SemgHandGenderCh2,HYDRA
0.1,bottom,50,-0.4641911292198072,0.0,0.83,SemgHandGenderCh2,HYDRA
0.1,random,50,0.5262599176459125,0.5333333333333333,0.83,SemgHandGenderCh2,HYDRA
0.1,top,50,0.6322646131164652,0.56,0.83,SemgHandGenderCh2,HYDRA
0.2,bottom,50,-0.7785994338201884,0.0,0.83,SemgHandGenderCh2,HYDRA
0.2,random,50,0.5448302313935057,0.5266666666666666,0.83,SemgHandGenderCh2,HYDRA
0.2,top,50,0.569544064509467,0.58,0.83,SemgHandGenderCh2,HYDRA
0.05,bottom,50,0.0768660562607042,0.22,0.4644444444444444,SemgHandMovementCh2,HYDRA
0.05,random,50,0.0710487251936386,0.2466666666666666,0.4644444444444444,SemgHandMovementCh2,HYDRA
0.05,top,50,0.0449960945840383,0.18,0.4644444444444444,SemgHandMovementCh2,HYDRA
0.1,bottom,50,-0.1879982009427116,0.28,0.4644444444444444,SemgHandMovementCh2,HYDRA
0.1,random,50,-0.2104417147047329,0.1933333333333333,0.4644444444444444,SemgHandMovementCh2,HYDRA
0.1,top,50,-0.2433294110690297,0.14,0.4644444444444444,SemgHandMovementCh2,HYDRA
0.2,bottom,50,-0.7169446687046892,0.26,0.4644444444444444,SemgHandMovementCh2,HYDRA
0.2,random,50,-0.7263753821703761,0.2,0.4644444444444444,SemgHandMovementCh2,HYDRA
0.2,top,50,-0.8386582788522385,0.16,0.4644444444444444,SemgHandMovementCh2,HYDRA
0.05,bottom,50,-0.1127730559246263,0.06,0.7711111111111111,SemgHandSubjectCh2,HYDRA
0.05,random,50,-0.0425135282882681,0.0399999999999999,0.7711111111111111,SemgHandSubjectCh2,HYDRA
0.05,top,50,-0.019923495075781,0.0,0.7711111111111111,SemgHandSubjectCh2,HYDRA
0.1,bottom,50,-0.4531799615128059,0.0,0.7711111111111111,SemgHandSubjectCh2,HYDRA
0.1,random,50,-0.229815561905675,0.0266666666666666,0.7711111111111111,SemgHandSubjectCh2,HYDRA
0.1,top,50,-0.2735888701279187,0.0,0.7711111111111111,SemgHandSubjectCh2,HYDRA
0.2,bottom,50,-1.0411383834843186,0.0,0.7711111111111111,SemgHandSubjectCh2,HYDRA
0.2,random,50,-0.7232888360413209,0.02,0.7711111111111111,SemgHandSubjectCh2,HYDRA
0.2,top,50,-0.9051005080433184,0.0,0.7711111111111111,SemgHandSubjectCh2,HYDRA
0.05,bottom,50,0.2355907608659671,0.02,0.9888888888888888,ShapeletSim,HYDRA
0.05,random,50,0.2347492518469066,0.0666666666666666,0.9888888888888888,ShapeletSim,HYDRA
0.05,top,50,0.3573414251784073,0.18,0.9888888888888888,ShapeletSim,HYDRA
0.1,bottom,50,0.4846747511649077,0.42,0.9888888888888888,ShapeletSim,HYDRA
0.1,random,50,0.5085046681075821,0.4733333333333333,0.9888888888888888,ShapeletSim,HYDRA
0.1,top,50,0.6646901420311702,0.7,0.9888888888888888,ShapeletSim,HYDRA
0.2,bottom,50,1.0009615610402076,1.0,0.9888888888888888,ShapeletSim,HYDRA
0.2,random,50,1.134239067506311,0.98,0.9888888888888888,ShapeletSim,HYDRA
0.2,top,50,1.305015448600768,1.0,0.9888888888888888,ShapeletSim,HYDRA
0.05,bottom,50,0.0682150928457773,0.0,0.8026666666666666,SmallKitchenAppliances,HYDRA
0.05,random,50,0.2700830344409121,0.1133333333333333,0.8026666666666666,SmallKitchenAppliances,HYDRA
0.05,top,50,0.7734292486356396,0.4,0.8026666666666666,SmallKitchenAppliances,HYDRA
0.1,bottom,50,0.1152009296793864,0.02,0.8026666666666666,SmallKitchenAppliances,HYDRA
0.1,random,50,0.5584633835728493,0.3,0.8026666666666666,SmallKitchenAppliances,HYDRA
0.1,top,50,1.1674248938156184,0.74,0.8026666666666666,SmallKitchenAppliances,HYDRA
0.2,bottom,50,0.1606338769938296,0.02,0.8026666666666666,SmallKitchenAppliances,HYDRA
0.2,random,50,0.8325260981972317,0.4733333333333334,0.8026666666666666,SmallKitchenAppliances,HYDRA
0.2,top,50,1.6386722375956555,0.94,0.8026666666666666,SmallKitchenAppliances,HYDRA
0.05,bottom,50,0.0286667185902565,0.0,0.96,SmoothSubspace,HYDRA
0.05,random,50,0.0691169252947312,0.0333333333333333,0.96,SmoothSubspace,HYDRA
0.05,top,50,0.1370254082112764,0.08,0.96,SmoothSubspace,HYDRA
0.1,bottom,50,0.0448795441667886,0.02,0.96,SmoothSubspace,HYDRA
0.1,random,50,0.1114434394312147,0.0333333333333333,0.96,SmoothSubspace,HYDRA
0.1,top,50,0.1549713955281006,0.08,0.96,SmoothSubspace,HYDRA
0.2,bottom,50,0.0978536274671702,0.04,0.96,SmoothSubspace,HYDRA
0.2,random,50,0.1347984033360117,0.0266666666666666,0.96,SmoothSubspace,HYDRA
0.2,top,50,0.2491077095459572,0.1,0.96,SmoothSubspace,HYDRA
0.05,bottom,50,-0.1475138306348965,0.0,0.8114285714285714,ArrowHead,HYDRA
0.05,random,50,-0.1289429495668879,0.0133333333333333,0.8114285714285714,ArrowHead,HYDRA
0.05,top,50,-0.123494174482037,0.02,0.8114285714285714,ArrowHead,HYDRA
0.1,bottom,50,-0.1255225729491012,0.04,0.8114285714285714,ArrowHead,HYDRA
0.1,random,50,-0.070680670684357,0.0599999999999999,0.8114285714285714,ArrowHead,HYDRA
0.1,top,50,-0.0932783349749549,0.06,0.8114285714285714,ArrowHead,HYDRA
0.2,bottom,50,-0.0059753982502734,0.04,0.8114285714285714,ArrowHead,HYDRA
0.2,random,50,0.119972750810805,0.2133333333333333,0.8114285714285714,ArrowHead,HYDRA
0.2,top,50,0.0412808533127664,0.12,0.8114285714285714,ArrowHead,HYDRA
0.05,bottom,50,0.1270796301009821,0.02,1.0,BME,HYDRA
0.05,random,50,0.1514083037400928,0.0266666666666666,1.0,BME,HYDRA
0.05,top,50,0.1987750890021735,0.0,1.0,BME,HYDRA
0.1,bottom,50,0.1189515398917026,0.02,1.0,BME,HYDRA
0.1,random,50,0.1910432210439329,0.0733333333333333,1.0,BME,HYDRA
0.1,top,50,0.0919893871696929,0.0,1.0,BME,HYDRA
0.2,bottom,50,0.1867020716121187,0.1,1.0,BME,HYDRA
0.2,random,50,0.3026453465097832,0.1533333333333333,1.0,BME,HYDRA
0.2,top,50,0.083826882178632,0.0,1.0,BME,HYDRA
0.05,bottom,25,0.0062663829486148,0.2,0.8333333333333334,Beef,HYDRA
0.05,random,25,0.0696946960721348,0.1733333333333333,0.8333333333333334,Beef,HYDRA
0.05,top,25,0.0199568897178608,0.12,0.8333333333333334,Beef,HYDRA
0.1,bottom,25,0.1152034844384712,0.28,0.8333333333333334,Beef,HYDRA
0.1,random,25,0.1189333190300425,0.2933333333333333,0.8333333333333334,Beef,HYDRA
0.1,top,25,0.2137382735921442,0.28,0.8333333333333334,Beef,HYDRA
0.2,bottom,25,0.2607132153442896,0.44,0.8333333333333334,Beef,HYDRA
0.2,random,25,0.1954896479219957,0.4666666666666666,0.8333333333333334,Beef,HYDRA
0.2,top,25,0.523434452855586,0.56,0.8333333333333334,Beef,HYDRA
0.05,bottom,18,0.0013945155639959,0.0555555555555555,0.9,BeetleFly,HYDRA
0.05,random,18,0.0461015089476705,0.1851851851851851,0.9,BeetleFly,HYDRA
0.05,top,18,0.0101557573172903,0.1666666666666666,0.9,BeetleFly,HYDRA
0.1,bottom,18,0.0104172208625483,0.2222222222222222,0.9,BeetleFly,HYDRA
0.1,random,18,0.0365903855538451,0.2037037037037037,0.9,BeetleFly,HYDRA
0.1,top,18,0.0308557768866877,0.1666666666666666,0.9,BeetleFly,HYDRA
0.2,bottom,18,0.0828489576009075,0.3333333333333333,0.9,BeetleFly,HYDRA
0.2,random,18,0.1126296913672587,0.4259259259259259,0.9,BeetleFly,HYDRA
0.2,top,18,0.0712793314533013,0.3888888888888889,0.9,BeetleFly,HYDRA
0.05,bottom,18,0.0296045137241414,0.0,0.9,BirdChicken,HYDRA
0.05,random,18,0.075445523671305,0.074074074074074,0.9,BirdChicken,HYDRA
0.05,top,18,-0.0675161371342875,0.0,0.9,BirdChicken,HYDRA
0.1,bottom,18,0.0765857644181102,0.0,0.9,BirdChicken,HYDRA
0.1,random,18,0.0954496328443337,0.1111111111111111,0.9,BirdChicken,HYDRA
0.1,top,18,-0.0657733070698854,0.2222222222222222,0.9,BirdChicken,HYDRA
0.2,bottom,18,0.2416555130386417,0.0,0.9,BirdChicken,HYDRA
0.2,random,18,0.0281838956676283,0.1296296296296296,0.9,BirdChicken,HYDRA
0.2,top,18,0.1202734279222484,0.2777777777777778,0.9,BirdChicken,HYDRA
0.05,bottom,50,0.371226252398001,0.5,0.9333333333333332,Car,HYDRA
