cluster,AUDIO,DEVICE,ECG,EOG,EPG,HAR,HEMODYNAMICS,IMAGE,MOTION,OTHER,SENSOR,SIMULATED,SPECTRO,TRAFFIC,
0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.25,0.375,0.0,0.0
1,0.0,0.05405405405405406,0.0,0.0,0.05405405405405406,0.21621621621621623,0.0,0.32432432432432434,0.08108108108108109,0.0,0.08108108108108109,0.08108108108108109,0.10810810810810811,0.0,0.0
2,0.0,0.07142857142857142,0.09523809523809523,0.0,0.0,0.07142857142857142,0.0,0.35714285714285715,0.0,0.0,0.2619047619047619,0.09523809523809523,0.0,0.047619047619047616,0.0
3,0.024390243902439025,0.12195121951219512,0.07317073170731707,0.04878048780487805,0.0,0.24390243902439024,0.07317073170731707,0.12195121951219512,0.07317073170731707,0.024390243902439025,0.04878048780487805,0.0,0.12195121951219512,0.0,0.024390243902439025
