k,silhouette,davies_bouldin,calinski_harabasz,min_cluster_size,max_cluster_size,n_singletons,n_clusters_lt_5
3,0.19163687521837425,1.5069168671743924,41.38254605934965,8,78,0,0
4,0.20320252499541064,1.4944034968209308,37.76820180142356,8,42,0,0
5,0.20788399563829452,1.2256136849641832,36.621857854517145,1,42,1,1
6,0.21711428280175576,1.0592685827699693,36.525825765667825,1,42,1,2
7,0.24863057654069923,1.014409186388529,37.21013380165368,1,42,1,2
8,0.24100379688027201,1.0920240473275338,38.03355608687903,1,35,1,2
9,0.24796383822188534,1.0023035194665053,37.83289957595694,1,35,1,4
10,0.2609926494782757,1.0010151665580134,38.18731158656708,1,35,1,4
11,0.24937965798877404,0.98471104526131,38.04739768979804,1,29,1,4
12,0.2731293714513413,0.9658442566784714,38.13951694887726,1,24,1,4
13,0.27870528536961653,0.9697100988251939,38.22724642531555,1,24,1,4
14,0.28641633818267953,1.0004568164572738,38.52146637814346,1,24,1,4
15,0.29908583890289203,1.045223655894417,38.81455993046007,1,22,1,4
16,0.3022467056341229,1.0708766765848636,38.44773618344928,1,22,1,4
17,0.2985481587857237,1.0854055509828324,38.026500027727955,1,22,1,5
18,0.3084711048246228,1.0504297978603347,37.55980013979699,1,22,1,6
19,0.31364501338712714,1.0572611268774488,37.16707997160693,1,22,1,7
