dataset,backend,total_time,accuracy,f1_macro,f1_weighted,target_length,seed
HandOutlines,mps,21.75592954199965,0.9486486486486486,0.9431574691732364,0.9481234053944788,1000,42
FordB,mps,15.092542582999158,0.8197530864197531,0.8196431294799451,0.8196871122558683,1000,42
NonInvasiveFetalECGThorax1,mps,14.799303209001664,0.9399491094147584,0.9352545461841888,0.938385367555758,1000,42
Rock,mps,1.144439041003352,0.92,0.9193970503181028,0.9202955465587044,1000,42
HouseTwenty,mps,1.564571374998195,0.9495798319327732,0.9482608695652174,0.9495798319327732,1000,42
PigArtPressure,mps,3.1407187079967116,0.9855769230769232,0.9848595848595848,0.9848595848595848,1000,42
Chinatown,mps,0.0833147919984185,0.9825072886297376,0.9784385214986172,0.9826711316014606,1000,42
SonyAIBORobotSurface1,mps,0.2104688330000499,0.9201331114808652,0.919829253651704,0.9205273054213986,1000,42
SmoothSubspace,mps,0.0543680409973603,0.96,0.9599966663333,0.9599966663333,1000,42
ItalyPowerDemand,mps,0.1065369999996619,0.967930029154519,0.9679295445422992,0.967929908001464,1000,42
SmoothSubspace,mps,0.0156209999986458,0.96,0.9599966663333,0.9599966663333,1000,42
Strawberry,mps,0.9327997079963096,0.9756756756756756,0.9737172353372956,0.9757726281676746,1000,42
HandOutlines,cpu,21.0843530419952,0.9486486486486486,0.9431574691732364,0.9481234053944788,1000,42
FordB,cpu,20.984986374998694,0.8197530864197531,0.8196431294799451,0.8196871122558683,1000,42
NonInvasiveFetalECGThorax1,cpu,23.82118937499763,0.9399491094147584,0.9352545461841888,0.938385367555758,1000,42
Rock,cpu,1.3563710829985212,0.92,0.9193970503181028,0.9202955465587044,1000,42
HouseTwenty,cpu,2.19499766700028,0.9495798319327732,0.9482608695652174,0.9495798319327732,1000,42
PigArtPressure,cpu,3.7145817919954425,0.9855769230769232,0.9848595848595848,0.9848595848595848,1000,42
Chinatown,cpu,0.0946577920039999,0.9825072886297376,0.9784385214986172,0.9826711316014606,1000,42
SonyAIBORobotSurface1,cpu,0.3051532079989556,0.9201331114808652,0.919829253651704,0.9205273054213986,1000,42
SmoothSubspace,cpu,0.0412940829992294,0.96,0.9599966663333,0.9599966663333,1000,42
ItalyPowerDemand,cpu,0.3016438330014352,0.967930029154519,0.9679295445422992,0.967929908001464,1000,42
SmoothSubspace,cpu,0.0418066669953987,0.96,0.9599966663333,0.9599966663333,1000,42
Strawberry,cpu,1.5471667499950854,0.9756756756756756,0.9737172353372956,0.9757726281676746,1000,42
HandOutlines,mps,21.56341816699569,0.9486486486486486,0.9431574691732364,0.9481234053944788,2000,42
FordB,mps,14.121070000001056,0.8197530864197531,0.8196431294799451,0.8196871122558683,2000,42
NonInvasiveFetalECGThorax1,mps,13.13593412499904,0.9399491094147584,0.9352545461841888,0.938385367555758,2000,42
Rock,mps,1.1250942920014495,0.92,0.9193970503181028,0.9202955465587044,2000,42
HouseTwenty,mps,1.5278577089993632,0.9495798319327732,0.9482608695652174,0.9495798319327732,2000,42
PigArtPressure,mps,3.147009041000274,0.9855769230769232,0.9848595848595848,0.9848595848595848,2000,42
Chinatown,mps,0.0524930409956141,0.9825072886297376,0.9784385214986172,0.9826711316014606,2000,42
SonyAIBORobotSurface1,mps,0.1766496659984113,0.9201331114808652,0.919829253651704,0.9205273054213986,2000,42
SmoothSubspace,mps,0.0430937079945579,0.96,0.9599966663333,0.9599966663333,2000,42
ItalyPowerDemand,mps,0.0669867500037071,0.967930029154519,0.9679295445422992,0.967929908001464,2000,42
SmoothSubspace,mps,0.0106632919996627,0.96,0.9599966663333,0.9599966663333,2000,42
Strawberry,mps,0.7858665000021574,0.9756756756756756,0.9737172353372956,0.9757726281676746,2000,42
HandOutlines,cpu,24.647707875003107,0.9486486486486486,0.9431574691732364,0.9481234053944788,2000,42
FordB,cpu,19.23077116600325,0.8197530864197531,0.8196431294799451,0.8196871122558683,2000,42
NonInvasiveFetalECGThorax1,cpu,18.813453917005972,0.9399491094147584,0.9352545461841888,0.938385367555758,2000,42
Rock,cpu,1.1449527500008116,0.92,0.9193970503181028,0.9202955465587044,2000,42
HouseTwenty,cpu,1.9003674999985376,0.9495798319327732,0.9482608695652174,0.9495798319327732,2000,42
PigArtPressure,cpu,3.6361256249947473,0.9855769230769232,0.9848595848595848,0.9848595848595848,2000,42
Chinatown,cpu,0.0882646669997484,0.9825072886297376,0.9784385214986172,0.9826711316014606,2000,42
SonyAIBORobotSurface1,cpu,0.5344760829975712,0.9201331114808652,0.919829253651704,0.9205273054213986,2000,42
SmoothSubspace,cpu,0.0416044590019737,0.96,0.9599966663333,0.9599966663333,2000,42
ItalyPowerDemand,cpu,0.2683342920063296,0.967930029154519,0.9679295445422992,0.967929908001464,2000,42
SmoothSubspace,cpu,0.0401087909995112,0.96,0.9599966663333,0.9599966663333,2000,42
Strawberry,cpu,1.1960033330033184,0.9756756756756756,0.9737172353372956,0.9757726281676746,2000,42
HandOutlines,mps,21.5614219160052,0.9486486486486486,0.9431574691732364,0.9481234053944788,3000,42
FordB,mps,13.96095958299702,0.8197530864197531,0.8196431294799451,0.8196871122558683,3000,42
NonInvasiveFetalECGThorax1,mps,12.18339220800408,0.9399491094147584,0.9352545461841888,0.938385367555758,3000,42
Rock,mps,1.119994000000588,0.92,0.9193970503181028,0.9202955465587044,3000,42
