dataset,model,total_time,accuracy,f1_macro,f1_weighted,seed
ChlorineConcentration,lr_classifier,0.020020708998345,0.7703125,0.7673193213380015,0.7716094898430046,2
ChlorineConcentration,lr_classifier,0.0196238330026972,0.7703125,0.7673193213380015,0.7716094898430046,3
ChlorineConcentration,lr_classifier,0.0203998329998285,0.7703125,0.7673193213380015,0.7716094898430046,4
ChlorineConcentration,lr_classifier,0.0185009999986505,0.7703125,0.7673193213380015,0.7716094898430046,5
CinCECGTorso,lr_classifier,0.0408178329998918,0.4536231884057971,0.4633264555134538,0.4634913691584428,1
CinCECGTorso,lr_classifier,0.0404754160008451,0.4536231884057971,0.4633264555134538,0.4634913691584428,2
CinCECGTorso,lr_classifier,0.0406781249985215,0.4536231884057971,0.4633264555134538,0.4634913691584428,3
CinCECGTorso,lr_classifier,0.0414416670028003,0.4536231884057971,0.4633264555134538,0.4634913691584428,4
CinCECGTorso,lr_classifier,0.0406651250013965,0.4536231884057971,0.4633264555134538,0.4634913691584428,5
Coffee,lr_classifier,0.0015150840008573,1.0,1.0,1.0,1
Coffee,lr_classifier,0.0014663750007457,1.0,1.0,1.0,2
Coffee,lr_classifier,0.0012611670026672,1.0,1.0,1.0,3
Coffee,lr_classifier,0.0012427500005287,1.0,1.0,1.0,4
Coffee,lr_classifier,0.001210958998854,1.0,1.0,1.0,5
Computers,lr_classifier,0.0072766670018609,0.484,0.4837935174069628,0.4837935174069628,1
Computers,lr_classifier,0.0072597500002302,0.484,0.4837935174069628,0.4837935174069628,2
Computers,lr_classifier,0.0085661659977631,0.484,0.4837935174069628,0.4837935174069628,3
Computers,lr_classifier,0.00798291600222,0.484,0.4837935174069628,0.4837935174069628,4
Computers,lr_classifier,0.0078223750024335,0.484,0.4837935174069628,0.4837935174069628,5
CricketX,lr_classifier,0.051629083998705,0.2794871794871795,0.2764253186258858,0.279622548818159,1
CricketX,lr_classifier,0.0561647089998587,0.2794871794871795,0.2764253186258858,0.279622548818159,2
CricketX,lr_classifier,0.052691542001412,0.2794871794871795,0.2764253186258858,0.279622548818159,3
CricketX,lr_classifier,0.0526274590010871,0.2794871794871795,0.2764253186258858,0.279622548818159,4
CricketX,lr_classifier,0.0552390000011655,0.2794871794871795,0.2764253186258858,0.279622548818159,5
CricketY,lr_classifier,0.0489169159991433,0.3871794871794872,0.3899927477644002,0.391783731466848,1
CricketY,lr_classifier,0.0511679590017593,0.3871794871794872,0.3899927477644002,0.391783731466848,2
CricketY,lr_classifier,0.0514162920007947,0.3871794871794872,0.3899927477644002,0.391783731466848,3
CricketY,lr_classifier,0.0486552919974201,0.3871794871794872,0.3899927477644002,0.391783731466848,4
CricketY,lr_classifier,0.0525067919988941,0.3871794871794872,0.3899927477644002,0.391783731466848,5
CricketZ,lr_classifier,0.0576507080004375,0.2871794871794871,0.2919306345019086,0.2969987046211346,1
CricketZ,lr_classifier,0.0592157909995876,0.2871794871794871,0.2919306345019086,0.2969987046211346,2
CricketZ,lr_classifier,0.0601175000010698,0.2871794871794871,0.2919306345019086,0.2969987046211346,3
CricketZ,lr_classifier,0.0571285840014752,0.2871794871794871,0.2919306345019086,0.2969987046211346,4
CricketZ,lr_classifier,0.0613269170025887,0.2871794871794871,0.2919306345019086,0.2969987046211346,5
Crop,lr_classifier,0.2302389579999726,0.6873214285714285,0.6821858797432542,0.6821858797432541,1
Crop,lr_classifier,0.2296671249969222,0.6873214285714285,0.6821858797432542,0.6821858797432541,2
Crop,lr_classifier,0.2292656660029024,0.6873214285714285,0.6821858797432542,0.6821858797432541,3
Crop,lr_classifier,0.2306060829978378,0.6873214285714285,0.6821858797432542,0.6821858797432541,4
Crop,lr_classifier,0.2304822500009322,0.6873214285714285,0.6821858797432542,0.6821858797432541,5
DiatomSizeReduction,lr_classifier,0.0050648329997784,0.9575163398692812,0.9375958961825231,0.9557982603746724,1
DiatomSizeReduction,lr_classifier,0.0048657920015102,0.9575163398692812,0.9375958961825231,0.9557982603746724,2
DiatomSizeReduction,lr_classifier,0.0050465000022086,0.9575163398692812,0.9375958961825231,0.9557982603746724,3
