dataset,backend,total_time,accuracy,f1_macro,f1_weighted,target_length,seed
ItalyPowerDemand,mps,0.0308250419984688,0.967930029154519,0.9679295445422992,0.967929908001464,12000,42
SmoothSubspace,mps,0.0082717499972204,0.96,0.9599966663333,0.9599966663333,12000,42
Strawberry,mps,1.519178833001206,0.9756756756756756,0.9737172353372956,0.9757726281676746,12000,42
HandOutlines,cpu,13.941272707997996,0.9486486486486486,0.9431574691732364,0.9481234053944788,12000,42
FordB,cpu,25.062254000000394,0.8197530864197531,0.8196431294799451,0.8196871122558683,12000,42
NonInvasiveFetalECGThorax1,cpu,29.362742208999407,0.9399491094147584,0.9352545461841888,0.938385367555758,12000,42
Rock,cpu,0.7770554999988235,0.92,0.9193970503181028,0.9202955465587044,12000,42
HouseTwenty,cpu,1.327714292001474,0.9495798319327732,0.9482608695652174,0.9495798319327732,12000,42
PigArtPressure,cpu,2.1644668750013807,0.9855769230769232,0.9848595848595848,0.9848595848595848,12000,42
Chinatown,cpu,0.0799343329999828,0.9825072886297376,0.9784385214986172,0.9826711316014606,12000,42
SonyAIBORobotSurface1,cpu,0.4034910410009615,0.9201331114808652,0.919829253651704,0.9205273054213986,12000,42
SmoothSubspace,cpu,0.0285237499992945,0.96,0.9599966663333,0.9599966663333,12000,42
ItalyPowerDemand,cpu,0.2227828329996555,0.967930029154519,0.9679295445422992,0.967929908001464,12000,42
SmoothSubspace,cpu,0.0328658329999598,0.96,0.9599966663333,0.9599966663333,12000,42
Strawberry,cpu,1.893196249999164,0.9756756756756756,0.9737172353372956,0.9757726281676746,12000,42
HandOutlines,mps,43.04308675000357,0.9486486486486486,0.9431574691732364,0.9481234053944788,13000,42
FordB,mps,20.239892916997633,0.8197530864197531,0.8196431294799451,0.8196871122558683,13000,42
NonInvasiveFetalECGThorax1,mps,25.642583749999176,0.9399491094147584,0.9352545461841888,0.938385367555758,13000,42
Rock,mps,2.2839086249987304,0.92,0.9193970503181028,0.9202955465587044,13000,42
HouseTwenty,mps,3.2151040409989946,0.9495798319327732,0.9482608695652174,0.9495798319327732,13000,42
PigArtPressure,mps,6.326974999999948,0.9855769230769232,0.9848595848595848,0.9848595848595848,13000,42
Chinatown,mps,0.0125518329987244,0.9825072886297376,0.9784385214986172,0.9826711316014606,13000,42
SonyAIBORobotSurface1,mps,0.1461039999994682,0.9201331114808652,0.919829253651704,0.9205273054213986,13000,42
SmoothSubspace,mps,0.0083941660013806,0.96,0.9599966663333,0.9599966663333,13000,42
ItalyPowerDemand,mps,0.0305091669979447,0.967930029154519,0.9679295445422992,0.967929908001464,13000,42
SmoothSubspace,mps,0.0076286250005068,0.96,0.9599966663333,0.9599966663333,13000,42
Strawberry,mps,1.5241211249995104,0.9756756756756756,0.9737172353372956,0.9757726281676746,13000,42
HandOutlines,cpu,14.12918841699866,0.9486486486486486,0.9431574691732364,0.9481234053944788,13000,42
FordB,cpu,25.151168000000325,0.8197530864197531,0.8196431294799451,0.8196871122558683,13000,42
NonInvasiveFetalECGThorax1,cpu,28.301150540999515,0.9399491094147584,0.9352545461841888,0.938385367555758,13000,42
Rock,cpu,0.784516125000664,0.92,0.9193970503181028,0.9202955465587044,13000,42
HouseTwenty,cpu,1.3370455000003858,0.9495798319327732,0.9482608695652174,0.9495798319327732,13000,42
PigArtPressure,cpu,2.157345042000088,0.9855769230769232,0.9848595848595848,0.9848595848595848,13000,42
Chinatown,cpu,0.0808446250011911,0.9825072886297376,0.9784385214986172,0.9826711316014606,13000,42
SonyAIBORobotSurface1,cpu,0.41684266700031,0.9201331114808652,0.919829253651704,0.9205273054213986,13000,42
SmoothSubspace,cpu,0.0296659580017149,0.96,0.9599966663333,0.9599966663333,13000,42
ItalyPowerDemand,cpu,0.2266764579981099,0.967930029154519,0.9679295445422992,0.967929908001464,13000,42
SmoothSubspace,cpu,0.0315629579999949,0.96,0.9599966663333,0.9599966663333,13000,42
Strawberry,cpu,1.9128224999985832,0.9756756756756756,0.9737172353372956,0.9757726281676746,13000,42
HandOutlines,mps,43.12694262500008,0.9486486486486486,0.9431574691732364,0.9481234053944788,14000,42
FordB,mps,20.28798537500188,0.8197530864197531,0.8196431294799451,0.8196871122558683,14000,42
NonInvasiveFetalECGThorax1,mps,25.672424167001736,0.9399491094147584,0.9352545461841888,0.938385367555758,14000,42
Rock,mps,2.2850487920004525,0.92,0.9193970503181028,0.9202955465587044,14000,42
HouseTwenty,mps,3.258095916997263,0.9495798319327732,0.9482608695652174,0.9495798319327732,14000,42
PigArtPressure,mps,6.38692891699975,0.9855769230769232,0.9848595848595848,0.9848595848595848,14000,42
Chinatown,mps,0.0128524159990774,0.9825072886297376,0.9784385214986172,0.9826711316014606,14000,42
SonyAIBORobotSurface1,mps,0.1486603330013167,0.9201331114808652,0.919829253651704,0.9205273054213986,14000,42
SmoothSubspace,mps,0.0077558750017487,0.96,0.9599966663333,0.9599966663333,14000,42
ItalyPowerDemand,mps,0.0308881669989204,0.967930029154519,0.9679295445422992,0.967929908001464,14000,42
SmoothSubspace,mps,0.0075609579980664,0.96,0.9599966663333,0.9599966663333,14000,42
Strawberry,mps,1.501003417000902,0.9756756756756756,0.9737172353372956,0.9757726281676746,14000,42
HandOutlines,cpu,13.725662167002156,0.9486486486486486,0.9431574691732364,0.9481234053944788,14000,42
FordB,cpu,24.418569042001764,0.8197530864197531,0.8196431294799451,0.8196871122558683,14000,42
NonInvasiveFetalECGThorax1,cpu,28.712113583002065,0.9399491094147584,0.9352545461841888,0.938385367555758,14000,42
Rock,cpu,0.7880172090008273,0.92,0.9193970503181028,0.9202955465587044,14000,42
HouseTwenty,cpu,1.3225856669996574,0.9495798319327732,0.9482608695652174,0.9495798319327732,14000,42
PigArtPressure,cpu,2.105913583000074,0.9855769230769232,0.9848595848595848,0.9848595848595848,14000,42
Chinatown,cpu,0.0778911670022353,0.9825072886297376,0.9784385214986172,0.9826711316014606,14000,42
SonyAIBORobotSurface1,cpu,0.4114038330008043,0.9201331114808652,0.919829253651704,0.9205273054213986,14000,42
SmoothSubspace,cpu,0.0304282079996482,0.96,0.9599966663333,0.9599966663333,14000,42
ItalyPowerDemand,cpu,0.2217648330006341,0.967930029154519,0.9679295445422992,0.967929908001464,14000,42
SmoothSubspace,cpu,0.0317332499980693,0.96,0.9599966663333,0.9599966663333,14000,42
Strawberry,cpu,1.8941903749982885,0.9756756756756756,0.9737172353372956,0.9757726281676746,14000,42
HandOutlines,mps,43.0968060410014,0.9486486486486486,0.9431574691732364,0.9481234053944788,15000,42
FordB,mps,20.292315457998484,0.8197530864197531,0.8196431294799451,0.8196871122558683,15000,42
NonInvasiveFetalECGThorax1,mps,25.66368866600169,0.9399491094147584,0.9352545461841888,0.938385367555758,15000,42
Rock,mps,2.3173839160008356,0.92,0.9193970503181028,0.9202955465587044,15000,42
HouseTwenty,mps,3.2492091249987425,0.9495798319327732,0.9482608695652174,0.9495798319327732,15000,42
PigArtPressure,mps,6.383901250002964,0.9855769230769232,0.9848595848595848,0.9848595848595848,15000,42
Chinatown,mps,0.0127254590006486,0.9825072886297376,0.9784385214986172,0.9826711316014606,15000,42
SonyAIBORobotSurface1,mps,0.1519875000012689,0.9201331114808652,0.919829253651704,0.9205273054213986,15000,42
SmoothSubspace,mps,0.0086491250003746,0.96,0.9599966663333,0.9599966663333,15000,42
ItalyPowerDemand,mps,0.0305100419973314,0.967930029154519,0.9679295445422992,0.967929908001464,15000,42
SmoothSubspace,mps,0.00794925000082,0.96,0.9599966663333,0.9599966663333,15000,42
Strawberry,mps,1.5313248750026105,0.9756756756756756,0.9737172353372956,0.9757726281676746,15000,42
HandOutlines,cpu,13.722076584002934,0.9486486486486486,0.9431574691732364,0.9481234053944788,15000,42
FordB,cpu,23.983516083000723,0.8197530864197531,0.8196431294799451,0.8196871122558683,15000,42
