dataset,backend,total_time,accuracy,f1_macro,f1_weighted,target_length,seed
Chinatown,cpu,0.0721039999989443,0.9825072886297376,0.9784385214986172,0.9826711316014606,5000,42
SonyAIBORobotSurface1,cpu,0.4200389170000562,0.9201331114808652,0.919829253651704,0.9205273054213986,5000,42
SmoothSubspace,cpu,0.0284521670000685,0.96,0.9599966663333,0.9599966663333,5000,42
ItalyPowerDemand,cpu,0.2018070000012812,0.967930029154519,0.9679295445422992,0.967929908001464,5000,42
SmoothSubspace,cpu,0.0313166670021018,0.96,0.9599966663333,0.9599966663333,5000,42
Strawberry,cpu,2.2489133329981996,0.9756756756756756,0.9737172353372956,0.9757726281676746,5000,42
HandOutlines,mps,25.066686207999737,0.9486486486486486,0.9431574691732364,0.9481234053944788,6000,42
FordB,mps,12.967837374999364,0.8197530864197531,0.8196431294799451,0.8196871122558683,6000,42
NonInvasiveFetalECGThorax1,mps,14.922235750000254,0.9399491094147584,0.9352545461841888,0.938385367555758,6000,42
Rock,mps,1.354908166002133,0.92,0.9193970503181028,0.9202955465587044,6000,42
HouseTwenty,mps,1.8721381249997648,0.9495798319327732,0.9482608695652174,0.9495798319327732,6000,42
PigArtPressure,mps,3.6642534579987114,0.9855769230769232,0.9848595848595848,0.9848595848595848,6000,42
Chinatown,mps,0.0308488330010732,0.9825072886297376,0.9784385214986172,0.9826711316014606,6000,42
SonyAIBORobotSurface1,mps,0.1501520829988294,0.9201331114808652,0.919829253651704,0.9205273054213986,6000,42
SmoothSubspace,mps,0.0069309589998738,0.96,0.9599966663333,0.9599966663333,6000,42
ItalyPowerDemand,mps,0.0294050829979823,0.967930029154519,0.9679295445422992,0.967929908001464,6000,42
SmoothSubspace,mps,0.0073295000001962,0.96,0.9599966663333,0.9599966663333,6000,42
Strawberry,mps,0.8995710410017637,0.9756756756756756,0.9737172353372956,0.9757726281676746,6000,42
HandOutlines,cpu,11.4838059169997,0.9486486486486486,0.9431574691732364,0.9481234053944788,6000,42
FordB,cpu,9.0515824590002,0.8197530864197531,0.8196431294799451,0.8196871122558683,6000,42
NonInvasiveFetalECGThorax1,cpu,8.713075499999832,0.9399491094147584,0.9352545461841888,0.938385367555758,6000,42
Rock,cpu,0.639824875001068,0.92,0.9193970503181028,0.9202955465587044,6000,42
HouseTwenty,cpu,1.025579417000699,0.9495798319327732,0.9482608695652174,0.9495798319327732,6000,42
PigArtPressure,cpu,1.7780436249995546,0.9855769230769232,0.9848595848595848,0.9848595848595848,6000,42
Chinatown,cpu,0.0718710410001222,0.9825072886297376,0.9784385214986172,0.9826711316014606,6000,42
SonyAIBORobotSurface1,cpu,0.3996863749998738,0.9201331114808652,0.919829253651704,0.9205273054213986,6000,42
SmoothSubspace,cpu,0.0287965409988828,0.96,0.9599966663333,0.9599966663333,6000,42
ItalyPowerDemand,cpu,0.2183339580005849,0.967930029154519,0.9679295445422992,0.967929908001464,6000,42
SmoothSubspace,cpu,0.0307457919989246,0.96,0.9599966663333,0.9599966663333,6000,42
Strawberry,cpu,2.242066999999224,0.9756756756756756,0.9737172353372956,0.9757726281676746,6000,42
HandOutlines,mps,25.0167292920014,0.9486486486486486,0.9431574691732364,0.9481234053944788,7000,42
FordB,mps,13.009540541002934,0.8197530864197531,0.8196431294799451,0.8196871122558683,7000,42
NonInvasiveFetalECGThorax1,mps,14.879413834001753,0.9399491094147584,0.9352545461841888,0.938385367555758,7000,42
Rock,mps,1.3413827499971376,0.92,0.9193970503181028,0.9202955465587044,7000,42
HouseTwenty,mps,1.8562329999986105,0.9495798319327732,0.9482608695652174,0.9495798319327732,7000,42
PigArtPressure,mps,3.665065291999781,0.9855769230769232,0.9848595848595848,0.9848595848595848,7000,42
Chinatown,mps,0.0478177500008314,0.9825072886297376,0.9784385214986172,0.9826711316014606,7000,42
SonyAIBORobotSurface1,mps,0.151380874998722,0.9201331114808652,0.919829253651704,0.9205273054213986,7000,42
SmoothSubspace,mps,0.0079910410022421,0.96,0.9599966663333,0.9599966663333,7000,42
ItalyPowerDemand,mps,0.0305561249988386,0.967930029154519,0.9679295445422992,0.967929908001464,7000,42
SmoothSubspace,mps,0.0076301250010146,0.96,0.9599966663333,0.9599966663333,7000,42
Strawberry,mps,0.8997848330000124,0.9756756756756756,0.9737172353372956,0.9757726281676746,7000,42
HandOutlines,cpu,11.546055375001744,0.9486486486486486,0.9431574691732364,0.9481234053944788,7000,42
FordB,cpu,8.90435266699933,0.8197530864197531,0.8196431294799451,0.8196871122558683,7000,42
NonInvasiveFetalECGThorax1,cpu,8.4982532920003,0.9399491094147584,0.9352545461841888,0.938385367555758,7000,42
Rock,cpu,0.6498339579993626,0.92,0.9193970503181028,0.9202955465587044,7000,42
HouseTwenty,cpu,1.0275519159986288,0.9495798319327732,0.9482608695652174,0.9495798319327732,7000,42
PigArtPressure,cpu,1.779971541000123,0.9855769230769232,0.9848595848595848,0.9848595848595848,7000,42
Chinatown,cpu,0.0753404999995837,0.9825072886297376,0.9784385214986172,0.9826711316014606,7000,42
SonyAIBORobotSurface1,cpu,0.3896470420004334,0.9201331114808652,0.919829253651704,0.9205273054213986,7000,42
SmoothSubspace,cpu,0.0302422920030949,0.96,0.9599966663333,0.9599966663333,7000,42
ItalyPowerDemand,cpu,0.2102257910009939,0.967930029154519,0.9679295445422992,0.967929908001464,7000,42
SmoothSubspace,cpu,0.0297357499985082,0.96,0.9599966663333,0.9599966663333,7000,42
Strawberry,cpu,2.106803291997494,0.9756756756756756,0.9737172353372956,0.9757726281676746,7000,42
HandOutlines,mps,25.01933666700279,0.9486486486486486,0.9431574691732364,0.9481234053944788,8000,42
FordB,mps,13.101628417000027,0.8197530864197531,0.8196431294799451,0.8196871122558683,8000,42
NonInvasiveFetalECGThorax1,mps,14.868289208003262,0.9399491094147584,0.9352545461841888,0.938385367555758,8000,42
Rock,mps,1.3391829159991175,0.92,0.9193970503181028,0.9202955465587044,8000,42
HouseTwenty,mps,1.8774723330025151,0.9495798319327732,0.9482608695652174,0.9495798319327732,8000,42
PigArtPressure,mps,3.6633740830002353,0.9855769230769232,0.9848595848595848,0.9848595848595848,8000,42
Chinatown,mps,0.0133431249996647,0.9825072886297376,0.9784385214986172,0.9826711316014606,8000,42
SonyAIBORobotSurface1,mps,0.1429513750008482,0.9201331114808652,0.919829253651704,0.9205273054213986,8000,42
SmoothSubspace,mps,0.0075505409986362,0.96,0.9599966663333,0.9599966663333,8000,42
ItalyPowerDemand,mps,0.0291348749997268,0.967930029154519,0.9679295445422992,0.967929908001464,8000,42
SmoothSubspace,mps,0.0073324170007254,0.96,0.9599966663333,0.9599966663333,8000,42
Strawberry,mps,0.9054370000012568,0.9756756756756756,0.9737172353372956,0.9757726281676746,8000,42
HandOutlines,cpu,11.519863875000738,0.9486486486486486,0.9431574691732364,0.9481234053944788,8000,42
FordB,cpu,23.34876170799907,0.8197530864197531,0.8196431294799451,0.8196871122558683,8000,42
NonInvasiveFetalECGThorax1,cpu,8.27855520799858,0.9399491094147584,0.9352545461841888,0.938385367555758,8000,42
Rock,cpu,0.6470327080023708,0.92,0.9193970503181028,0.9202955465587044,8000,42
