dataset,backend,total_time,accuracy,f1_macro,f1_weighted,target_length,seed
HandOutlines,mps,260.94820854200225,0.9486486486486486,0.9431574691732364,0.9481234053944788,1000,42
FordB,mps,51.73600370899658,0.8197530864197531,0.8196431294799451,0.8196871122558683,1000,42
NonInvasiveFetalECGThorax1,mps,69.67238654199173,0.9399491094147584,0.9352545461841888,0.938385367555758,1000,42
Rock,mps,11.696292042004645,0.92,0.9193970503181028,0.9202955465587044,1000,42
HouseTwenty,mps,8.920957834008732,0.9495798319327732,0.9482608695652174,0.9495798319327732,1000,42
PigArtPressure,mps,24.20220154200797,0.9855769230769232,0.9848595848595848,0.9848595848595848,1000,42
Chinatown,mps,0.3045789589959895,0.9825072886297376,0.9784385214986172,0.9826711316014606,1000,42
SonyAIBORobotSurface1,mps,0.4276246660010656,0.9201331114808652,0.919829253651704,0.9205273054213986,1000,42
SmoothSubspace,mps,0.3974861250026151,0.96,0.9599966663333,0.9599966663333,1000,42
ItalyPowerDemand,mps,0.4671382090018596,0.967930029154519,0.9679295445422992,0.967929908001464,1000,42
SmoothSubspace,mps,0.0247429169976385,0.96,0.9599966663333,0.9599966663333,1000,42
Strawberry,mps,3.704745583992917,0.9756756756756756,0.9737172353372956,0.9757726281676746,1000,42
HandOutlines,cpu,38.273180333999335,0.9486486486486486,0.9431574691732364,0.9481234053944788,1000,42
FordB,cpu,38.74180529199657,0.8197530864197531,0.8196431294799451,0.8196871122558683,1000,42
NonInvasiveFetalECGThorax1,cpu,38.72993045899784,0.9399491094147584,0.9352545461841888,0.938385367555758,1000,42
Rock,cpu,2.174975583999185,0.92,0.9193970503181028,0.9202955465587044,1000,42
HouseTwenty,cpu,3.688597125001252,0.9495798319327732,0.9482608695652174,0.9495798319327732,1000,42
PigArtPressure,cpu,6.305910334005603,0.9855769230769232,0.9848595848595848,0.9848595848595848,1000,42
Chinatown,cpu,0.0996615409967489,0.9825072886297376,0.9784385214986172,0.9826711316014606,1000,42
SonyAIBORobotSurface1,cpu,0.405223042005673,0.9201331114808652,0.919829253651704,0.9205273054213986,1000,42
SmoothSubspace,cpu,0.0489075840014265,0.96,0.9599966663333,0.9599966663333,1000,42
ItalyPowerDemand,cpu,0.3380423339986009,0.967930029154519,0.9679295445422992,0.967929908001464,1000,42
SmoothSubspace,cpu,0.0712324579944834,0.96,0.9599966663333,0.9599966663333,1000,42
Strawberry,cpu,2.383329167001648,0.9756756756756756,0.9737172353372956,0.9757726281676746,1000,42
HandOutlines,mps,254.0237739580043,0.9486486486486486,0.9431574691732364,0.9481234053944788,2000,42
FordB,mps,48.65709658400738,0.8197530864197531,0.8196431294799451,0.8196871122558683,2000,42
NonInvasiveFetalECGThorax1,mps,65.509877125005,0.9399491094147584,0.9352545461841888,0.938385367555758,2000,42
Rock,mps,11.607276541995816,0.92,0.9193970503181028,0.9202955465587044,2000,42
HouseTwenty,mps,10.006608790994504,0.9495798319327732,0.9482608695652174,0.9495798319327732,2000,42
PigArtPressure,mps,26.56241670800955,0.9855769230769232,0.9848595848595848,0.9848595848595848,2000,42
Chinatown,mps,0.1069647090043872,0.9825072886297376,0.9784385214986172,0.9826711316014606,2000,42
SonyAIBORobotSurface1,mps,0.5591343749983935,0.9201331114808652,0.919829253651704,0.9205273054213986,2000,42
SmoothSubspace,mps,0.0861046659993007,0.96,0.9599966663333,0.9599966663333,2000,42
ItalyPowerDemand,mps,0.1640814169950317,0.967930029154519,0.9679295445422992,0.967929908001464,2000,42
SmoothSubspace,mps,0.0231731250096345,0.96,0.9599966663333,0.9599966663333,2000,42
Strawberry,mps,3.4432553329970688,0.9756756756756756,0.9737172353372956,0.9757726281676746,2000,42
HandOutlines,cpu,39.9028200830071,0.9486486486486486,0.9431574691732364,0.9481234053944788,2000,42
FordB,cpu,33.98005154200655,0.8197530864197531,0.8196431294799451,0.8196871122558683,2000,42
NonInvasiveFetalECGThorax1,cpu,31.482441666012164,0.9399491094147584,0.9352545461841888,0.938385367555758,2000,42
Rock,cpu,2.1836975420010276,0.92,0.9193970503181028,0.9202955465587044,2000,42
HouseTwenty,cpu,3.695758500005468,0.9495798319327732,0.9482608695652174,0.9495798319327732,2000,42
PigArtPressure,cpu,6.301179792004405,0.9855769230769232,0.9848595848595848,0.9848595848595848,2000,42
Chinatown,cpu,0.1098672500083921,0.9825072886297376,0.9784385214986172,0.9826711316014606,2000,42
SonyAIBORobotSurface1,cpu,0.6139188329980243,0.9201331114808652,0.919829253651704,0.9205273054213986,2000,42
SmoothSubspace,cpu,0.0551126249920344,0.96,0.9599966663333,0.9599966663333,2000,42
ItalyPowerDemand,cpu,0.3332003340037772,0.967930029154519,0.9679295445422992,0.967929908001464,2000,42
SmoothSubspace,cpu,0.0508115829870803,0.96,0.9599966663333,0.9599966663333,2000,42
Strawberry,cpu,1.9295158330060076,0.9756756756756756,0.9737172353372956,0.9757726281676746,2000,42
HandOutlines,mps,277.9154796250077,0.9486486486486486,0.9431574691732364,0.9481234053944788,3000,42
FordB,mps,51.118003584007965,0.8197530864197531,0.8196431294799451,0.8196871122558683,3000,42
NonInvasiveFetalECGThorax1,mps,65.045829374998,0.9399491094147584,0.9352545461841888,0.938385367555758,3000,42
Rock,mps,12.9403890829999,0.92,0.9193970503181028,0.9202955465587044,3000,42
HouseTwenty,mps,10.665057709004031,0.9495798319327732,0.9482608695652174,0.9495798319327732,3000,42
PigArtPressure,mps,27.741833207997843,0.9855769230769232,0.9848595848595848,0.9848595848595848,3000,42
Chinatown,mps,0.1934834579878952,0.9825072886297376,0.9784385214986172,0.9826711316014606,3000,42
SonyAIBORobotSurface1,mps,0.4757830840098904,0.9201331114808652,0.919829253651704,0.9205273054213986,3000,42
SmoothSubspace,mps,0.0626672499929554,0.96,0.9599966663333,0.9599966663333,3000,42
ItalyPowerDemand,mps,0.1516757500066887,0.967930029154519,0.9679295445422992,0.967929908001464,3000,42
SmoothSubspace,mps,0.020577040995704,0.96,0.9599966663333,0.9599966663333,3000,42
Strawberry,mps,3.337255708000157,0.9756756756756756,0.9737172353372956,0.9757726281676746,3000,42
HandOutlines,cpu,39.840810334004345,0.9486486486486486,0.9431574691732364,0.9481234053944788,3000,42
FordB,cpu,32.682717540999874,0.8197530864197531,0.8196431294799451,0.8196871122558683,3000,42
NonInvasiveFetalECGThorax1,cpu,28.96970762500132,0.9399491094147584,0.9352545461841888,0.938385367555758,3000,42
Rock,cpu,2.173441749997437,0.92,0.9193970503181028,0.9202955465587044,3000,42
HouseTwenty,cpu,3.677455540993833,0.9495798319327732,0.9482608695652174,0.9495798319327732,3000,42
PigArtPressure,cpu,6.345308499992825,0.9855769230769232,0.9848595848595848,0.9848595848595848,3000,42
Chinatown,cpu,0.1947842079971451,0.9825072886297376,0.9784385214986172,0.9826711316014606,3000,42
SonyAIBORobotSurface1,cpu,0.6205321250017732,0.9201331114808652,0.919829253651704,0.9205273054213986,3000,42
SmoothSubspace,cpu,0.0618556249974062,0.96,0.9599966663333,0.9599966663333,3000,42
ItalyPowerDemand,cpu,0.4368342500092694,0.967930029154519,0.9679295445422992,0.967929908001464,3000,42
SmoothSubspace,cpu,0.0709910419973312,0.96,0.9599966663333,0.9599966663333,3000,42
Strawberry,cpu,1.8303977079922331,0.9756756756756756,0.9737172353372956,0.9757726281676746,3000,42
HandOutlines,mps,274.47039912499895,0.9486486486486486,0.9431574691732364,0.9481234053944788,4000,42
FordB,mps,49.83793749999313,0.8197530864197531,0.8196431294799451,0.8196871122558683,4000,42
NonInvasiveFetalECGThorax1,mps,64.42352375001065,0.9399491094147584,0.9352545461841888,0.938385367555758,4000,42
Rock,mps,12.725317916003403,0.92,0.9193970503181028,0.9202955465587044,4000,42
HouseTwenty,mps,11.554618584006676,0.9495798319327732,0.9482608695652174,0.9495798319327732,4000,42
PigArtPressure,mps,27.21366145799402,0.9855769230769232,0.9848595848595848,0.9848595848595848,4000,42
Chinatown,mps,0.1874902500130701,0.9825072886297376,0.9784385214986172,0.9826711316014606,4000,42
